Event
Grosvenor CS:GO Championship Season 1
Telenor League Fall 2018 Finals
Toyota Master Bangkok 2018
ECS Season 6 Finals
A1 Adria League Season 2 Finals
ESL Dutch Championship Winter 2018 Finals
99Damage League Season 10
Asian Development League 2018 - Season 1
Master League Portugal Season II
OMEN UK Open
DreamHack Open Atlanta 2018
ESL Latin America League Season 2 Finals
ECS Season 6 Europe
ESL Pro League Season 8 North America
ESL Pro League Season 8 Europe
ESL Turkey Championship 2018 Finals
WESG 2018 Kazakhstan Regional Finals
NSG Academy - Underwatch
ESL Australia & NZ Championship Season 7 Finals
WESG 2018 United States Regional Finals Female
WESG 2018 United States Regional Finals
Czech Championship 2018
IESF World Championship 2018
IEM Chicago 2018
WESG 2018 Hong Kong Regional Finals
LPL Pro ANZ Invitational Finals
Grand Hotshots
ECS Season 6 North America
ESL Latin America League Season 2
ESEA MDL Season 29 Australia
ESL Pro League Season 8 Asia
Gfinity Spring Series 2018 Europe
WESG 2018 Oceania Regional Finals
cs_summit 3
FPSThailand Pro League Season 5 Finals
BLAST Pro Series Copenhagen 2018
Assembly GameXpo 2018
Baltic Esports League Finals
Gfinity Spring Series 2018 North America
ESL Pro League Season 8 Oceania
WESG 2018 Canada Regional Finals Female
Tiger Masters Season 4 Finals
WESG 2018 Canada Regional Finals
SEA Fire Championship 2018
EPICENTER 2018
La Liga PRO 2018 Finals
CSGOFAST.COM Cup 4
EPICENTER 2018 Wild Card Qualifier
AOC CyberGamer Premier League Spring 2018 Finals
Polbit Arena 2018
Grail Quest '18 CS:GO Pro
Gamers Club Masters 2018
Nordic Championship Winter 2018
eXTREMESLAND 2018 Asia Finals
GG.BET Shuffle Closed Qualifier
Taiwan Excellence Gaming Cup 2018
La Copa 2018 Finals
BESL Pro Season 2 Finals
GG.BET Shuffle - IEM Chicago Qualifier
X-Bet.co Invitational 4
Thunderpick Invitational #3
MyTime League
ESL Brazil Premier League Season 6
ESL Pro European Championship
ESL India Premiership 2018 Fall Finals
StarSeries i-League Season 6
GameForce Masters
NetParty Fyn 2018
Logitech G Challenge Grand Final 2018
Brasil Game Cup 2018 Female Finals
ESL Polish Championship Season 17 Finals
Brasil Game Cup 2018 Finals
Dew Arena 2018
Hellcase Cup 7
WESG 2018 Russia by OMEN LAN
King of Nordic Season 12
WESG 2018 Russia by OMEN LAN Female
Finnish Esports League Season 5 Finals
WESG 2018 China Regional Finals
ESL Polish Championship Season 17
Gametoon Challenge
GALLERIA GAMEMASTER Cup 2018
MSI MGA Finals
Games Clash Masters 2018
ESL One New York 2018
BLAST Pro Series Istanbul 2018
WESG 2018 Russia by OMEN Closed Qualifier
FACEIT Major 2018
GG.BET Summer CIS + EU
VS Gaming Masters 2018 Finals
eXTREMESLAND 2018 China Regional Finals
Cross Border Esport 2018
DreamHack Open Montreal 2018
Cross Border Esport 2018 Female Finals
ESEA MDL Season 28 Europe
GG.BET Summer Brazil
ALTEL Cyber Games
Supreme Masters Switzerland 2018
Cougar CS:GO Open
DreamHack Masters Stockholm 2018
Lebanese Gaming Championship 2018
Fusion.bet Masters II
UK Masters Insomnia63
ZOTAC Cup Masters 2018 Grand Finals
ESEA Advanced Season 28 North America
GG.BET Summer Europe
ESL Meisterschaft Summer 2018 Finals
GG.BET Summer CIS
CSGO.NET Cup 3
ESEA Advanced Season 28 Europe
ESEA Open Season 28 Brazil
OGA Counter PIT Season 3
ESEA MDL Season 28 Australia
ESL UK Premiership Summer 2018 Finals
99Damage League Season 9
X-BET.co Invitational 3
IEM Shanghai 2018
Fragadelphia 12
BravoBet Cup
Finnish Championships 2018
MID.TV Cyber Cup
ELEAGUE CS:GO Premier 2018
ESEA MDL Season 28 North America
AOC CyberGamer Premier League Winter 2018 Finals
GIRLGAMER Esports Festival 2018
Europe Minor - FACEIT Major 2018
Rivalry CIS Invitational
Asia Minor - FACEIT Major 2018
QIWI TEAM PLAY Season 1
Tokyo in Tulsa 2
Thunderpick Invitational #2
ESL Masters Spain Spring 2018 Finals
DreamHack Open Valencia 2018
Gfinity Elite Series Australia Season 1
CIS Minor - FACEIT Major 2018
Americas Minor - FACEIT Major 2018
NeSA 2018
ESL One Cologne 2018
ESL Southeast Europe Championship Season 7
Esports Balkan League Season 2
ZOTAC Cup Masters 2018 Americas Regional Finals
ESL Italy Championship Summer 2018
ESL National Championship France Summer 2018
Worten Game Ring - Rock in Rio 2018
M.Game League 2 Finals
ESL Benelux Summer Championship 2018 Finals
PMU Challenge 2018 Finals
ESL India Premiership 2018 Summer Finals
ZOTAC Cup Masters 2018 Europe Regional Finals
Polish Esport League Season 3 Finals
Betspawn Cup: Nordic vs CIS
DreamHack Open Summer 2018
CS:GO Asia Championships 2018
Good Game League 2018
ESL Australia & NZ Championship Season 6 Finals
ESL One Belo Horizonte 2018
Superliga Final Four
King of Nordic Season 11
Moche XL Esports
ECS Season 5 Finals
Master League Portugal
ZOTAC Cup Masters 2018 Asia-Pacific Regional Finals
ESL Brazil Premier League Season 5
GG.BET Majestic - ESL One Cologne Qualifier
X-BET.co Invitational 2
DreamHack Open Austin 2018
StarSeries i-League Season 5
Kayzr League Finals
BESL Pro Season 1 Finals
Telenor League Spring 2018
Adrenaline Cyber League 2018
DreamHack Open Tours 2018
Saint Petersburg Impulse CS:GO Championship
ESL Pro League Season 7 Finals
Gamdom Premier
esportsbetting.com Launch Invitational
Gfinity Winter Series 2018 North America
Fusion.bet Masters
GG.BET Ascensão
ESEA Main Season 27 Europe
FPSThailand Pro League Season 4 Finals
ESL Polish Championship Spring 2018 Finals
ESEA Season 27 MDL Global Challenge
Birdie King of Nordic 2018
ECS Season 5 Europe
GOCASE Challenge
ESL Latin America League Season 1 Finals
ESL Women's Sydney Open Finals
IEM Sydney 2018
Gfinity Winter Series 2018 Europe
WCA 2017 Finals
Adria Masters Season 2 - Road to LOGIN
ESL Latin America League Season 1
Qi Invitational
ESL Pro League Season 7 North America
ESL Pro League Season 7 Europe
ForceDrop.net Cup 1
99Damage League Season 8
ESL Pro League Season 7 Asia-Pacific
DreamHack Masters Marseille 2018
ESEA Main Season 27 North America
Pro Gamer League Asian Invitational 2018
DMarket.com Spring Cup
ESL UK Premiership Spring 2018 Finals
XINHUA Electronic Sports Conference
AVGL Spring 2018 Finals
ESEA MDL Season 27 North America All-Star Game
GG:Origin - IEM Sydney 2018 Qualifier
ESL Meisterschaft Spring 2018 Finals
Western Digital CyberGamer Premier League Autumn 2018 Finals
Bets.net Masters
GOTV.GG Invitational #3
Douyu Super League 2018 Spring
King of Nordic Season 10
CSGO.NET Cup 2
CS:GO Asia Summit 2018
Bets.net Challenger Series
ESEA MDL Season 27 Australia
Copenhagen Games 2018
Copenhagen Games 2018 Female
Douyu Asian Challenge Series #1
Game In Mako Fest 2018
Alpha Invitational Season 1 Finals
M.Game League
V4 Future Sports Festival
StarLadder ImbaTV Invitational Chongqing 2018
Australian Esports Masters Season 4 Finals
Global Offensive Champions League Season 7
EGB Battles
iBUYPOWER Invitational Spring 2018
WESG 2017 World Finals
WESG 2017 World Finals Female
Mad City Chicago CS:GO Open
CSGOFAST.COM CUP 3
CSGOROLL Asian Masters
IEM Katowice 2018
LanTrek 2018
Puchar Polski Cybersport Spring 2018 Finals
Finnish Esports League Season 4 Finals
Play2Live Cryptomasters
StarSeries i-League Season 4
Intel Challenge Katowice 2018
Cybersport Festival Defender
Play2live Showmatch by GameAgents
Malta Esport Masters 2018
Legends Cup
cs_summit 2
Ecenter Copernicup 2018
WESG 2017 South America Regional Finals Female
WESG 2017 South America Regional Finals
WESG 2017 North America Regional Finals Female
WESG 2017 North America Regional Finals
Assembly Winter 2018
SMK GO CUP
CSEsport.com Asia Invitational
QIWI TEAM PLAY WINTER 2018
ESL Southeast Europe Championship Season 6 Finals
ELEAGUE Major 2018
GeForce Cup 2017 GCC & MENA Finals
King of Nordic Season 9
DaddySkins Western League
Malaysia Cyber Games 2018
WESG 2017 Asia-Pacific Regional Finals
Geeks Gone Wild 23
WESG 2017 Asia-Pacific Regional Finals Female
Daddyskins Asia Super League
ESEA Season 26 MDL Global Challenge
Letou Invitational
Mother Russia 2
Legend Series China Qualifier
Winner of the Future 2017
Douyu CS:GO Asia Invitational #2
CSGOFAST.COM CUP 2
OZ Cup 1
CSGO.NET Cup 1
CEVO Main Season 13 Europe
ECS Season 4 Finals
ESL India Premiership 2017 Winter Finals
LOOT.BET Nations Elite Esports Cup
ESL Meisterschaft Winter 2017 Finals
Ownit 2017 Winter Finals
ESL National Championship France Winter 2017
FPSThailand Pro League Season 3 Finals
Esports Balkan League Season 1 Finals
AOC CyberGamer Premier League Championship 2017
ESEA Main Season 26 Europe
ESEA Open Season 26 Brazil
ESEA Main Season 26 North America
Vreecase Cup #2
Esports European League
ESL Pro League Season 6 Finals
MID.TV Challenge Cup #1
Kings of the Baltics Finals
Australian Esports Masters Season 3 Finals
ROG MASTERS 2017 Grand Finals
Gfinity Elite Series Season 2
Legion Challenge 2017
CEVO Main Season 13 North America
Skinhub Season 2
Polish Esport League Season 2 Finals
DreamHack Open Winter 2017 BYOC
CS:GO Super League 2017 Finals
99Damage League Season 7
ESL Masters Spain Winter 2017 Finals
DreamHack Open Winter 2017
CyberPowerPC Extreme Gaming Series Winter 2017
WESG 2017 Malaysia LAN
Superliga Finals 2017
Nordic Championship Season 2 Finals
GEXT 2017 SEA Finals
FCDB Cup 2017
Challenge of the Gods 2017
WESG 2017 Europe & CIS Regional Finals Female
WESG 2017 Europe & CIS Regional Finals
Vip Adria League Season 1 Finals
BLAST Pro Series Copenhagen 2017
China Top 2017 Shenzhen
ECS Season 4 Europe
ESEA MDL Season 26 Australia
Omen Strike One 2017
IEM Oakland 2017
ESL Benelux Winter Championship 2017
WEGL 2017 Super Fight Invitational
ZEN League Season 2 Finals
Moche LPGO
MakeMy.Bet Championship #1
WCA 2017 Europe Main Qualifier
MOBAGAME Cup #1
iBUYPOWER Masters 2017
Philips OneBlade Cup 2017
Czech Championship 2017
ESL Pro League Season 6 North America
WESG 2017 Iberia LAN Female
WESG 2017 Iberia LAN
Telenor League Fall 2017
IeSF World Championship 2017
ESL Pro League Season 6 Europe
Experience League 2017
ESL Turkey Championship 2017 Finals
Conquerors Insignia 2017
Americas Minor - ELEAGUE Major 2018
Europe Minor - ELEAGUE Major 2018
SL i-League Invitational Shanghai 2017
AOC CyberGamer Premier League Spring 2017 Finals
ESWC 2017
CSGOFAST.COM CUP 1
WCA 2017 North America Finals
CIS Minor - ELEAGUE Major 2018
Asia Minor - ELEAGUE Major 2018
EPICENTER 2017
ESL Clash of Nations
EPICENTER 2017 Wild Card Qualifier
4Gamers CS:GO Masters Porto
St. Petersburg Governor's Cup
DreamHack Open Denver 2017
eXTREMESLAND 2017 Asia Finals
King of Nordic Season 8
WCA 2017 China Qualifier Wild Card
ESL India Premiership 2017 Fall Finals
ELEAGUE CS:GO Premier 2017
iGame.com Nordic Invitational 2
ZEN League Season 2
Hellcase Cup 6
WCA 2017 South America Finals
Polish Cup Cybersport
ESL African Championship Season 2 Finals
NGC Masters 2017
ESL Brazil Premier League #4
Finnish Esports League Season 3 Finals
CyberPowerPC Extreme Gaming Series Fall 2017
PC-Coolers League Season 2 Finals
Dew Arena 2017
China Top 2017 Kunshan
Connection LAN 2017
WCA 2017 Middle-East & North Africa Qualifier
Australian Esports Masters Season 2 Finals
ESL UK Premiership Autumn 2017 Finals
ESEA Season 25 MDL Global Challenge
WorldGaming CS:GO Canadian Championship Series 2017
eXTREMESLAND 2017 China Regional Finals
GameOn III Finals
ROG MASTERS 2017 Malaysia Regional Finals
ROG MASTERS 2017 Indonesia Regional Finals
eXTREMESLAND 2017 Japan Regional Finals
ESL Polish Championship Summer 2017 Finals
ESL One New York 2017
Mother Russia 1xBet
WESG 2017 China Finals Female
WESG 2017 China Finals
German Clash Season 2 Finals
Cross Border Esport 2017
DreamHack Open Montreal 2017
ESG Tour Mykonos 2017
ROG MASTERS 2017 Singapore Finals
Cross Border Esport 2017 Female Finals
99Damage League Season 6
GIRLGAMER Esports Festival 2017
"ROG MASTERS 2017 TW, HK & MO Regional Finals"
DreamHack Masters Malmö 2017
ROG MASTERS 2017 Korea Qualifier
Gfinity Elite Series Season 1
Binary Dragons Prestige LAN
CSBETGO CUP #1
91Lounge Cup #1
ESL Meisterschaft Summer 2017 Finals
UK Masters Summer 2017 Finals
Arab Gaming Championship 2017 Summer Open
ESL Major League Summer 2017
ESEA Main Season 25 Europe
ESEA Main Season 25 North America
ESL Australia & NZ Championship Season 4 Finals
G:loot Cup Summer 2017
ROG MASTERS 2017 South Asia Regional Finals
ROG MASTERS 2017 EMEA Qualifier
Unikrn TV Australian Showdown
Skinhub CS:GO Championship #1
ESEA MDL Season 25 Australia
iBUYPOWER GameFest 2017
ESL Meisterschaft Summer 2017
ROG MASTERS 2017 Benelux Finals
ROG MASTERS 2017 Nordic Qualifier
Nordic Championship Season 1 Finals
ESPORTSM.fi 2017 Finals
WCA 2017 Asia-Pacific Closed Qualifier
Copa Brasil 2017 Finals
Fragadelphia 11
Gamers Club Masters 2017
AOC CyberGamer Premier League Winter 2017 Finals
DreamHack Open Atlanta 2017
PGL Major Krakow 2017
ESL African Championship Season 1
DreamHack Open Valencia 2017
Hellcase Cup 5
Lordi'S Game Cup
fpsGOD Super League Winter
DigitalityX
GAME Stadium 2017
NeSA 2017
ESL One Cologne 2017
FPSThailand x SteelSeries Pro League Season 2
King of Nordic Season 7
Polish Esport League Season 1
Australian Esports Masters Season 1 Finals
ESL Masters Spain Spring 2017 Finals
ESL India Premiership 2017 Summer Finals
ESL National Championship France Summer 2017
DolphinCS Shoot 'Em Up 3
ECS Season 3 Finals
ESL Benelux Summer Championship 2017 Finals
ESL Southeast Europe Championship Season 5 Finals
Razer Rising Stars South-East Asian League
ESU Masters 2017
DreamHack Open Summer 2017
Adrenaline Cyber League 2017
ZEN Esports Network League Season 1 Finals
CyberPowerPC Extreme Gaming Series Spring 2017
Europe Minor - PGL Major Krakow 2017
ZOTAC Cup Elite eSports Arena
ELEAGUE Clash for Cash
ESL Brazil Premier League #3
Yoggi Yalla Cup 2017
CIS Minor - PGL Major Krakow 2017
Americas Minor - PGL Major Krakow 2017
CEVO Main Season 12 North America
Farmskins Championship #1
ECS Season 3 North America
ECS Season 3 Europe
CEVO Main Season 12 Europe
Global Offensive Champions League Season 6
Binary Dragons csgopolygon Cup 6
Asia Minor - PGL Major Krakow 2017
ESL Pro League Season 5 Finals
GeForce Cup 2017
BirdieLAN 27
The Adria Masters Season 1 Finals
Hellcase Cup 4
ESL Australia & NZ Championship Season 3 Finals
Telenor League Spring 2017
Cougar CS:GO Tournament LAN Final
BeyondGodlike CS:GO SEA Pro League
Subaru Invitational 2017
HTC 2v2 Invitational by PGL
ESEA Season 24 MDL Global Challenge
99Damage League Season 5
ESL Pro League Season 5 North America
ESL Pro League Season 5 Europe
WCA 2017 China Qualifier #1
DreamHack Open Tours 2017
4Gamers CS:GO Masters
Esports Arena Showdown Championship
Mettlestate Galaxy CS:GO Championship 2017
IEM Sydney 2017
ESL Meisterschaft Spring 2017 Finals
BETSCSGO CUP #1
ESL Major League Spring 2017
ESL Polish Championship Spring 2017 Finals
DreamHack Open Austin 2017
Douyu CS:GO Asia Invitational
ESEA Main Season 24 Europe
China Internet Gaming 2016 Finals
cs_summit Spring 2017
ESEA Main Season 24 North America
ZEN Esports Network League Season 1
Copenhagen Games 2017
Copenhagen Games 2017 Female
UK Masters Spring 2017 Finals
Danish Championship 2017
ESEA MDL Season 24 Australia
Brasil Game Cup Rio 2017
SL i-League StarSeries Season 3 Finals
Acer CyberGamer Premier League Autumn 2017 Finals
Arab Gaming Championship 2017 Winter Open
Operation: Kinguin #4
Binary Dragons csgopolygon Season 1
Hellcase Cup 3
iBUYPOWER Invitational Spring 2017
FPSThailand x SteelSeries Pro League Season 1
China Cup 2017
ESL UK Premiership Spring 2017 Finals
Razer Rising Stars European League Season 1
eSportsArcadeTV Cup #2
Epsilan 14
IEM Katowice 2017
LanTrek 2017
Intel Challenge Katowice 2017
DreamHack Masters Las Vegas 2017
Hellcase Cup 2
CEVO Main Season 11 Europe
iGame.com Winter Invitational
CEVO Main Season 11 North America
Assembly Winter 2017
ELEAGUE Major 2017
Fragadelphia 10
DreamHack ASTRO Open Leipzig 2017
WESG 2016 World Finals
ESEA Season 23 MDL Global Challenge
The Masters 2017 -  Amateurs
ESL Major Winter 2016 Spain
LVP Season 11 Division de Honor Finals
China Top 2016
99Damage League Season 4
Global Offensive Champions League Season 5
ESL National Championship France Winter 2016
WCA 2016 Finals
ECS Season 2 Finals
AlienTech CS:GO League Season II Finals
UK Masters Season 2 Finals
eSportsArcadeTV Cup
UK Masters Season 2
VitalBet Balkan Pro League Finals
ESEA MDL Season 23 North America
ELEAGUE Season 2
ECS Season 2 Europe
ESL Benelux Winter Championship 2016 Finals
ESU Razer CS:GO Ladies Tournament 2016
IGL 2016 - Grand Final
ESL Meisterschaft Winter 2016 Finals
DreamHack ZOWIE Open Winter 2016
DreamHack Nordic Championship 2016
ESEA MDL Season 23 Oceania
ECS Season 2 North America
Copa GO4Gold #1
Betway WCA 2016 EU Main Qualifier
IEM Oakland 2016
AnyKey Invitational 2016
VSL Season 2
WCA 2016 Americas
iBUYPOWER Masters 2016
StarLadder Regional Minor Championship CIS - ELEAGUE Major 2017
ROG MASTERS Asia 2016
WESG 2016 Asia-Pacific Regional Finals
Northern Arena 2016 - Montreal
Telenor League Winter 2016
Mr. Cat Masters Asian
ASUS ROG GameXpo 2016
PGL Regional Minor Championship Europe - ELEAGUE Major 2017
Predator Masters 3
ESL Australia & NZ Championship Season 2 Finals
ESEA MDL Season 23 Europe
ESWC 2016 Female
GameOn 2016
PGL Regional Minor Championship Asia - ELEAGUE Major 2017
ESWC 2016
ESL Pro League Season 4 Finals
ESL Brazil Premier League #2 Finals
WCA 2016 China Qualifier 3
ZOTAC World Cup
WESG 2016 North & South Americas Regional Finals
EPICENTER: Moscow
iGame.com Nordic Invitational
Team Ownit Challenge
League of Sharks CS:GO Championship
ESL Pro League Season 4 - Europe
ESL Pro League Season 4 - North America
WESG 2016 Europe & CIS Regional Finals
IeSF World Championship 2016
World Championship 2016
ESWC 2016 Poland
EPICENTER: Moscow CIS Closed Qualifier
WESG 2016 China Finals
Adrenaline Cyber League Finals
ESL One New York 2016
ESL Polish Championship 2016 Finals
EB Expo Sydney Finals
Kinguin for Charity with PayPal
EPICENTER: Moscow EU Closed Qualifier
CSL 2016 Finals
Gfinity CS:GO Invitational 2016
eXTREMESLAND 2016 Asia Finals
Game Show Spring Invitational 2016
Hitbox Challenger Cup #2
iBUYPOWER Invitational Fall 2016
DreamHack ZOWIE Open Bucharest 2016
Game Evolution
SL i-League StarSeries Season 2 Finals
BlasterX INETKOX League Season 1
Brasil Game Cup 2016
Evetech Champions League 2016
Northern Arena 2016 - Toronto
WCA Season 2 China Finals
PGL National Division Season 2 Finals
GG Masters
xfunction Masters 2016
eXTREMESLAND 2016 China Regional Finals
Global Offensive Champions League Season 4
CyberPowerPC Summer 2016 Pro Series
ESEA Season 22 MDL Global Challenge
WESG 2016 Africa & Middle East Regional Finals
Power-LAN 2016
VSL Season 1
eSports Festival 2016
CyberGamer Oceania Esports Masters Finals
ESL Meisterschaft Summer 2016 Finals
ESEA Premier Season 22 Europe
Stream.me Gauntlet EU #1
2016 D-Fire Lan Final
ESEA Premier Season 22 North America
ROG CS:GO Hong Kong Tournament
99Damage League Season 3
ASUS ROG Summer 2016
Peliliiga eSM 2016
Operation: Kinguin #3
ESL Brazil Premier League #1
ELEAGUE Season 1
MixBOT Pro-League Golden
ESL Australia & NZ Championship Season 1 Finals
Pro Gamer League 2016 Summer Finals
StarLadder Female Stars Championship
iBUYPOWER Invitational Summer 2016
DreamHack Valencia 2016
Game Show Open Season 4 Playoffs
ESL One Cologne 2016
NEA 2016 Finals
ECS Season 1 Finals
DreamHack ZOWIE Open Summer 2016
Razer Rising Stars South American League Season 1
Balkan Championship Season 3
MLG Regional Minor Championship Americas
SL i-League Invitational #1
WCA Season 1 APAC Finals
WCA Season 1 China Finals
DreamHack Regional Minor Championship Europe at DH Tours 2016
ESEA Premier Season 21 North America Finals
ESL Pro League Season 3 Finals
DreamHack Austin 2016
PGL KeSPA Regional Minor Championship Asia
ESEA Premier Season 21 Europe Finals
StarLadder Minor CIS - Cologne 2016
CEVO Gfinity Professional Season 9 Finals
Pro Gamers League 2016 Spring
Rising Stars SEA Promotional Cup
DreamHack Masters Malmö 2016
AlienTech CS:GO League Season I Finals
MLG Columbus 2016
Copenhagen Games 2016 female
Copenhagen Games 2016
iBUYPOWER Invitational Spring 2016
Telkom DGL Masters 2016 Cape Town
Counter Pit League Season 2 Finals
Intel Challenge Katowice 2016
IEM Katowice 2016
Pantamera CS:GO Challenge 2016
ESL Barcelona CS:GO Invitational presented by Mobile World Congress
Acer Predator Masters powered by Intel Season 2 Finals
Game Show Global eSports Cup 2016 Finals
Assembly Winter 2016
IEM Taipei 2016
PGL Regional Minor Championship Europe
StarLadder Regional Minor Championship CIS
DreamHack ZOWIE Open Leipzig 2016
MLG Americas Minor Championship
SL i-League StarSeries XIV Finals
MAX5 Invitational
Fulcrum Gamers League Finals
ELEAGUE Road to Vegas
ESL Nordic Nationals Winter 2015 Finals
ESL ESEA Pro League Season 2 Finals
Northern Arena 2015
LVP Season 9 Division de Honor Finals
Fragbite Masters Season 5 Finals
ESL Meisterschaft Winter 2015 Finals
FACEIT League 2015 Stage 3 Finals at DH Winter 2015
IEM San Jose 2015
AlienTech AllStars
Gfinity CS:GO UK Championship Finals
CIS LAN Championship #2
RGN Pro Series Championship
iBUYPOWER Cup 2015
CEVO Professional Season 8 Finals
ASUS ROG Nordic Challenge
DreamHack Open Cluj-Napoca 2015
CyberGamer Premier League 4 Finals
ESL UK Premiership Season 2 Finals
Fragadelphia 6
World Championships 2015
League of Sharks
Crown's Counter-Strike Invitational
SocialNat Master League
PGL Season 1 Finals
ESL Polish Championship Season 11 Finals
Uprise Champions Cup Season 3 Finals
Gfinity 2015 Champion of Champions
DreamHack Open London 2015
ACL Melbourne 2015
ESL ESEA Dubai Invitational 2015
Gaming Paradise 2015
"WinOut $20,000 CS:GO Championships Powered by Azubu.tv"
Fragbite Masters Champions Showdown
Insomnia 55
ESL One Cologne 2015
ESL Sommermeisterschaft 2015 Finals
IEM Gamescom 2015
Acer Predator Masters powered by Intel Season 1 Finals
Assembly Summer 2015 AMD CS:GO Challenge
CEVO Professional Season 7 Finals
FACEIT League 2015 Stage 2 Finals at DreamHack Valencia
ESWC 2015 Female
ESWC 2015
ESL ESEA Pro League Season 1 Finals
Gfinity 2015 Summer Masters 1
iBP Summer Invitational
SLTV StarSeries XIII Finals
DreamHack Open Summer 2015
ESPORTSM 2015
HTC Reborn Invitational
Fragbite Masters Season 4 Finals
Gfinity 2015 Spring Masters 2
DreamHack Open Tours 2015
FACEIT League 2015 Stage 1 Finals
ESL Frühlingsmeisterschaft 2015 Finals
CCS Kick-off Season Finals
CIS LAN Championship
ESEA Invite Season 18 Global Finals
CEVO Professional Season 6 LAN Finals
ESL Pro League Winter 2014/15 Finals
CyberGamer Premier League 3 Finals
Copenhagen Games 2015 female
Copenhagen Games 2015
SLTV StarSeries XII Finals
Gfinity 2015 Spring Masters 1
ESL One Katowice 2015
Inferno Online Pantamera Challenge
ClutchCon 2015
ASUS ROG Winter 2015
MLG X-Games Aspen 2015
Acer A-Split Invitational powered by Intel
European Championship 2014 LAN Finals
ESL Pro Series Germany Winter 2014 LAN Finals
ESEA Invite Season 17 Global Finals
DreamHack Winter 2014
Caseking King of Kings
Fragbite Masters Season 3 Finals
Azubu Australian Masters
ESWC 2014
ESWC 2014 Female
FACEIT League Season 2 Finals
SLTV StarSeries XI Finals
CyberGamer Pro League Season 2 Winter Finals
Game Show Season 1 Finals
ESWC 2014 China LAN Qualifier
DreamHack Stockholm CS:GO Invitational 2014
ESL Pro Series Germany Summer 2014 LAN Finals
SLTV StarSeries X Finals
ESL One Cologne 2014
Gfinity 3
ASUS ROG Summer 2014
DreamHack Valencia 2014
ESEA Invite Season 16 Global Finals
ESPORTSM 2013/2014 Finals
DreamHack Summer 2014
SLTV StarSeries IX Finals
Copenhagen Games 2014
Voronezh Cup 2014
